t_f,rho_f
-17.4930411826093,-1.10833108180312
-15.7275917581589,-1.00603180326382
-16.3229477200978,-1.04084865423821
-16.8256787873311,-1.07007449221834
-16.4107783624862,-1.04568790411861
-16.4598729387694,-1.04764214161886
-16.4946183811268,-1.05400876355517
-14.9863647116801,-0.954553261115929
-16.6515074703762,-1.05550014925721
-14.8986629902638,-0.948556438049271
-15.4965207888934,-0.986184129925622
-15.3774449420555,-0.983155255847213
-14.5431456678569,-0.927300457677867
-16.660973037945,-1.06007360597799
-15.4202658489848,-0.982082089388182
-15.2660176716811,-0.97283932101226
-15.4488144837284,-0.984982558565105
-15.5906588116008,-0.993652017422827
-14.9477628715743,-0.956712586319283
-16.3529907762756,-1.04393653312047
-17.4643112653512,-1.10715628467954
-18.168582385718,-1.14841981749015
-17.3613985398335,-1.10153920738655
-17.0048356251354,-1.07799359742191
-14.2156565485169,-0.901953808293934
-16.9476541822364,-1.0729006017789
-17.4148652487237,-1.10954994083665
-16.6455773806556,-1.05955527492114
-16.0382654546131,-1.02093006519228
-14.4151606596478,-0.913778009257093
-14.4357233667768,-0.930719013028462
-16.3677299061555,-1.03812379504425
-15.0159001038108,-0.955933051787426
-16.0039559899241,-1.01989290835202
-16.3951538458003,-1.04634745679351
-16.4222679011413,-1.04747906860385
-14.7550399950814,-0.93841849831408
-14.8586561437097,-0.945252404761715
-16.0301502334168,-1.02480569476068
-14.0119067619489,-0.877645099507905
-15.4288697815575,-0.985417159953626
-13.7860721168137,-0.871053746493198
-17.0713840474567,-1.0855625243721
-15.3021513122001,-0.986629149492273
-15.188123375732,-0.971050515937666
-14.0470562310935,-0.887730066417856
-14.4971656987535,-0.923790610742512
-14.0712136663058,-0.890441490813367
-16.2563184745222,-1.0338571835742
-16.4955504275293,-1.04853602631474
-15.3034398157827,-0.975498675058303
-14.8963399664024,-0.948075643196434
-16.0216927326338,-1.02355471042029
-16.2693881895039,-1.03521489816655
-15.7084710776788,-1.00173822825351
-15.1521763227074,-0.978663186279344
-15.3337664728933,-0.963043414296497
-15.5202918331712,-0.994938724657077
-16.7740397915028,-1.06734653589695
-16.3089832368167,-1.05186834404195
-15.1421672245719,-0.963369907522687
-16.0345182897364,-1.02422327327626
-14.3281105817944,-0.909876753393932
-15.9188549156314,-1.01469610309544
-15.7546551771893,-0.999941331080901
-15.2151064797188,-0.969196831794453
-15.0806798061542,-0.958402120619421
-16.8229614399168,-1.06206601483289
-15.6815539385903,-1.00026213746033
-15.9942457484933,-1.0235545589991
-16.4963253260538,-1.04716595225067
-14.2967569448168,-0.909036221851399
-15.825425414025,-1.0054164479647
-14.7578709603103,-0.939866586568999
-14.642361309227,-0.933311426168448
-16.5805766240897,-1.05468265223824
-15.6652522321923,-0.997342045021507
-15.4617819363349,-0.986697387177917
-15.9103837685909,-1.00992135655528
-16.1446614141847,-1.02995279065291
-16.7581885533623,-1.06881538275733
-16.5865647975482,-1.06010001641517
-17.009276131331,-1.08092025052545
-14.603000997851,-0.927429190242444
-14.9251678608448,-0.957285417218785
-15.7874747235068,-1.02433190114071
-16.6624020825896,-1.062059762186
-14.8436585544332,-0.940615289802815
-15.5693350102605,-0.984216539020375
-16.0397458434777,-1.01816043439175
-16.2041949613096,-1.03328538143972
-16.7434149700251,-1.07396486135739
-17.1572351975041,-1.08309605428299
-17.1649333953494,-1.08655237070824
-15.8105214231612,-1.0091114494746
-16.6089033150857,-1.05309424846097
-15.4916397625137,-0.987756995125843
-17.239325471326,-1.10076001364371
-17.3177840040727,-1.10199812401205
-16.1100706377795,-1.01822537862649
-14.3372522957955,-0.90981108582587
-14.891074531703,-0.950172067281344
-14.1152032749686,-0.900123123963233
-15.0626735451747,-0.963896839200082
-15.2487735029503,-0.983931464447633
-15.6035990409398,-0.994736634345698
-13.4254644559017,-0.84874785107515
-16.9363955435768,-1.07933397433232
-15.5165816030434,-0.986995056318504
-15.399228844535,-0.986363303872701
-15.1498359925476,-0.965253812583703
-14.0582526417893,-0.88650620757952
-16.504009922308,-1.05030135716986
-16.0997495807367,-1.0363793912667
-15.3928637714666,-0.981021659167272
-16.2578581160838,-1.03559260752155
-14.9889504260065,-0.95790132884576
-16.8113331498781,-1.06958951659077
-15.7151774575663,-0.999785314136764
-16.3877361252335,-1.04426285647239
-15.4236231531828,-0.984125945469933
-16.9078432721853,-1.07592180263243
-14.0863107633433,-0.892728901569107
-15.3564072907975,-0.976846844939677
-15.1820406159447,-0.969583644137269
-15.1875029794329,-0.962193962484298
-15.6158205532805,-0.995697170304924
